A,modulus,covered_classes,gap_classes,cover_pct
3,12,1,0,100.0%
7,28,6,0,100.0%
11,44,9,0,100.0%
15,60,2,0,100.0%
19,76,16,0,100.0%
23,92,21,0,100.0%
27,108,9,0,100.0%
31,124,27,0,100.0%
35,140,6,0,100.0%
39,156,9,0,100.0%
43,172,3,0,100.0%
47,188,8,0,100.0%
51,204,1,0,100.0%
55,220,2,0,100.0%
59,236,1,0,100.0%
63,252,0,0,0.0%
67,268,0,0,0.0%
71,284,0,0,0.0%
75,300,0,0,0.0%
79,316,0,0,0.0%
83,332,0,0,0.0%
87,348,0,0,0.0%
91,364,0,0,0.0%
95,380,0,0,0.0%
99,396,0,0,0.0%
103,412,0,0,0.0%
107,428,1,0,100.0%
